"מק""ט (SKU)",שם מוצר רשמי (קומקס),קטגוריה לוגיסטית,יחידת מידה,סלנג ומילות מפתח לנרמול AI,סיווג וחישוב פקדונות,"משקל יח' (ק""ג)",מחסן מקור ברירת מחדל,שיוך נהג ומשאית ברירת מחדל
76011,"בידוד מינרלי 12 ק""ג 18.2 מ""",בידוד ואקוסטיקה,שק,בידוד מינרלי,ללא,12,🏟️ 1️⃣(התלמיד),חכמת / עלי
76012,"בידוד מינרלי 24 ק""ג 12 מ""ר",בידוד ואקוסטיקה,שק,בידוד מינרלי,ללא,24,🏟️ 1️⃣(התלמיד),חכמת / עלי
76020,"בידוד מינרלי 12 ק""ג אלומיני",בידוד ואקוסטיקה,שק,בידוד מינרלי,ללא,12,🏟️ 1️⃣(התלמיד),חכמת / עלי
76071,בידוד לבן חשוף 250 גר' 120,בידוד ואקוסטיקה,יח',בידוד לבן חשוף 250 גר' 120,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
76690,"תופסן סרט לבידוד 660 מ""מ",בידוד ואקוסטיקה,גליל,תופסן סרט לבידוד,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
76705,קומפריבנד 50 25 מ.א. פס איט,בידוד ואקוסטיקה,גליל,קומפריבנד 50,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
76799,"סנדל ייצוב למשקוף 2 מ""מ",אחר,יח',סנדל ייצוב למשקוף,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
111000,"לוח גבס לבן מ""ר **",לוחות גבס,יח',"לוח גבס לבן מ""ר **",ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
111200,לוח גבס לבן 200 ע 12.50,לוחות גבס,יח',לוח גבס לבן 200 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
111260,לוח גבס לבן 260 ע 12.50,לוחות גבס,יח',לוח גבס לבן 260 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
111280,לוח גבס לבן 280 ע 12.50,לוחות גבס,יח',לוח גבס לבן 280 ע 12.50,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
