"מק""ט (SKU)",שם מוצר רשמי (קומקס),קטגוריה לוגיסטית,יחידת מידה,סלנג ומילות מפתח לנרמול AI,סיווג וחישוב פקדונות,"משקל יח' (ק""ג)",מחסן מקור ברירת מחדל,שיוך נהג ומשאית ברירת מחדל
10002,"מלט אפור 25 ק""ג",מליטה וצמנט,שק,"מלט, מלט אפור, שק מלט, צמנט, נשר",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
10001,"מלט לבן 25 ק""ג",מליטה וצמנט,שק,"מלט לבן, צמנט לבן",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
10011,"בטון מוכן 25 ק""ג",מליטה וצמנט,שק,"בטון מוכן, שק בטון, בטון מהיר",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
11500,חול שק,חומרי מחצבה בשקים,שק,"שק חול, חול בניין, חול ים",משטח סבן (50 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
11510,סומסום שק,חומרי מחצבה בשקים,שק,"שק סומסום, סומסום לריצוף, חצץ דק",משטח סבן (50 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
11550,טיט מוכן שק,חומרי מחצבה בשקים,שק,"טיט שק, טיט לריצוף, טיט לבנייה",משטח סבן (50 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
11505,חצץ שק,חומרי מחצבה בשקים,שק,"חצץ שק, חצץ רגיל",משטח סבן (50 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
14075,"טיח גבס MP75 שק 25 ק""ג",טיח וציפויים,שק,"MP75, אמפי 75, טיח גבס למכונה",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
14400,"טיח תרמי 400 23 ק""ג",טיח וציפויים,שק,"תרמוקיר 400, טיח תרמי, תרמוקיר 23",משטח סבן (40 שקים),23,🏭 4️⃣(החרש),חכמת / עלי
14603,"פלסטומר AD603 אפור 25 ק""ג",דבקים ומליטה,שק,"דבק 603, פלסטומר 603, אד 603",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),עלי (פתוחה)
15181,"ריצופית אפור 181 25 ק""ג",דבקים ומליטה,שק,"ריצופית 181, טיט ריצוף 181",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
14104,"טיח בריכות PL102S 25 ק""ג",טיח מיוחד,שק,"טיח בריכות, תרמוקיר 102",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
15770,"טיח ממ""ד רב תכליתי 25 ק""ג",טיח מיוחד,שק,"טיח ממד, טיח הדף, טיח הגנה",משטח סבן (40 שקים),25,🏭 4️⃣(החרש),חכמת / עלי
11501,חול שק גדול,שקים גדולים (בלות),שק גד,"בלה חול, חול בלה, שק גדול חול","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
11511,סומסום שק גדול,שקים גדולים (בלות),שק גד,"בלה סומסום, סומסום בלה, שק גדול סומסום","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
11551,טיט מוכן שק גדול,שקים גדולים (בלות),שק גד,"בלה טיט, טיט בלה, שק גדול טיט","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
11506,חצץ שק גדול,שקים גדולים (בלות),שק גד,"בלה חצץ, חצץ בלה, שק גדול חצץ","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
11540,מצע שק גדול,שקים גדולים (בלות),שק גד,"בלה מצע, מצע מהודק בלה","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
11570,חמרה שק גדול,שקים גדולים (בלות),שק גד,"בלה חמרה, אדמת חמרה","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
11521,שליכט שק גדול,שקים גדולים (בלות),שק גד,"בלה שליכט, שליכט בלה","בלה (1:1 מק""ט 60002)",1000,🏭 4️⃣(החרש),חכמת (מנוף)
111260,לוח גבס לבן 260 ע 12.50,לוחות גבס,יח',"גבס לבן 260, לוח לבן 2.60",ללא,22,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
111200,לוח גבס לבן 200 ע 12.50,לוחות גבס,יח',"גבס לבן 200, לוח לבן 2.00",ללא,17,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
112260,לוח גבס ירוק 260 ע 12.50,לוחות גבס,יח',"גבס ירוק 260, לוח ירוק עמיד לחות",ללא,24,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
112200,לוח גבס ירוק 200 ע 12.50,לוחות גבס,יח',"גבס ירוק 200, לוח ירוק 2.00",ללא,19,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
113260,לוח גבס ורוד 260 ע 12.50,לוחות גבס,יח',"גבס ורוד 260, לוח עמיד אש",ללא,26,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
114260,לוח גבס כחול 260 ע 12.50,לוחות גבס,יח',"גבס כחול 260, לוח אקוסטי כבד",ללא,30,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9550300,ניצב 0.5 50/300,פרופילים ושלד,יח',"ניצב 50, ניצב חמישים, פרופיל 50",ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
8550300,מסלול 0.5 50/300,פרופילים ושלד,יח',"מסלול 50, מסלול חמישים",ללא,1.5,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9570300,ניצב 0.5 70/300,פרופילים ושלד,יח',"ניצב 70, ניצב שבעים, פרופיל 70",ללא,2.1,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
8570300,מסלול 0.5 70/300,פרופילים ושלד,יח',"מסלול 70, מסלול שבעים",ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
75300,ניצב אומגה תקן 300,פרופילים ושלד,יח',"אומגה, פרופיל אומגה לתקרה",ללא,1.2,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
76012,"בידוד מינרלי 24 ק""ג 12 מ""ר",בידוד ואקוסטיקה,חב',"צמר סלעים, בידוד 24, בידוד גבס",ללא,12,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
12010,בלוק בטון 10/20/40,בלוקים ומוצרי בטון,יח',"בלוק 10, בלוק עשר, בלוק מחיצה",משטח בלוקים (150 יח'),12,🏭 4️⃣(החרש),חכמת (מנוף)
12204,בלוק בטון 20/20/40 4 חורים,בלוקים ומוצרי בטון,יח',"בלוק 20, בלוק עשרים, בלוק 4 חורים",משטח בלוקים (75 יח'),18,🏭 4️⃣(החרש),חכמת (מנוף)
12154,בלוק בטון 15/20/40 4 חורים,בלוקים ומוצרי בטון,יח',"בלוק 15, בלוק חמש עשרה",משטח בלוקים (100 יח'),15,🏭 4️⃣(החרש),חכמת (מנוף)
11526,סיד בור חבית,חביות וכימיקלים,חבית,"חבית סיד, סיד בור","חבית (מק""ט 60004)",50,🏭 4️⃣(החרש),חכמת / עלי
15090,"רוקבונד 28 ק""ג",צבע ופריימרים,דלי,"רוקבונד, פריימר גבס, דלי רוקבונד",ללא,28,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
55122,"קלסימו 5 ק""ג",שפכטלים,שקית,"קלסימו, שפכטל קלסימו",ללא,5,🏟️ 1️⃣(התלמיד),עלי
76206,בורג גבס 25 (1000 יח'),ברגים ופרזול,חב',"בורג גבס 25, ברגי גבס",ללא,1.5,🏟️ 1️⃣(התלמיד),עלי
76133,בורג פחפח 13 (1000 יח'),ברגים ופרזול,חב',"פחפח 13, בורג פחפח",ללא,1.2,🏟️ 1️⃣(התלמיד),עלי
76260,ערכת דבש שלישיה 100 יח',ברגים ופרזול,חב',"ערכת דבש, דיבל דבש, שלישיית דבש",ללא,1,🏟️ 1️⃣(התלמיד),עלי
76077,קומפריבנד 50/30 פס איטום,איטום ובידוד,חב',"קומפריבנד, פס איטום אקוסטי",ללא,0.5,🏟️ 1️⃣(התלמיד),עלי
19108,"סיקה 107 לבן+תוסף 25 ק""ג",חומרי איטום,ערכה,"סיקה 107, איטום סיקה, סיקהטופ",ללא,25,🏭 4️⃣(החרש),חכמת / עלי
15680,סיקפלקס FC11 לבן תרמיל,חומרי איטום,יח',"סיקפלקס, 11FC, מסטיק איטום",ללא,0.4,🏟️ 1️⃣(התלמיד),עלי
14707,סופר 7 שקוף,דבקים וסיליקון,יח',"סופר 7, סופר שבע, דבק סופר 7",ללא,0.4,🏟️ 1️⃣(התלמיד),עלי
60002,שק גדול פקדון,"מק""ט פקדון",יח',"פקדון בלה, חיוב בלה, זיכוי בלה",פקדון שק גדול,0,🏭 4️⃣(החרש),חכמת / עלי
60060,משטח סבן פקדון,"מק""ט פקדון",יח',"פקדון משטח סבן, משטח עץ",פקדון משטח עץ,0,🏭 4️⃣(החרש),חכמת / עלי
60006,משטח בלוקים פקדון,"מק""ט פקדון",יח',"פקדון משטח בלוקים, משטח בלוק",פקדון משטח בלוק,0,🏭 4️⃣(החרש),חכמת / עלי
60004,חבית פקדון,"מק""ט פקדון",יח',"פקדון חבית, חבית פקדון",פקדון חבית,0,🏭 4️⃣(החרש),חכמת / עלי
18050,הובלת מנוף הוד השרון,הובלות ומנוף,יח',מנוף הוד השרון,ללא,0,🏭 4️⃣(החרש),חכמת (מנוף)
18055,הובלת מנוף כפר סבא-רעננה,הובלות ומנוף,יח',"מנוף כפר סבא, מנוף רעננה",ללא,0,🏭 4️⃣(החרש),חכמת (מנוף)
18070,הובלת מנוף תל אביב מרכז,הובלות ומנוף,יח',מנוף תל אביב,ללא,0,🏭 4️⃣(החרש),חכמת (מנוף)
18090,"הובלת מנוף ראשל""צ",הובלות ומנוף,יח',מנוף ראשון לציון,ללא,0,🏭 4️⃣(החרש),חכמת (מנוף)
818050,הובלה ללא פריקה הוד השרון,הובלות ומנוף,יח',"הובלה ללא פריקה, הובלה רגילה",ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
818108,הובלה ללא פריקה,הובלות ומנוף,יח',"הובלה רגילה, ללא פריקה",ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
15116,"דבק 116 לבן 25 ק""ג כרמית",מליטה וצמנט,שק,דבק 116 לבן,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
15132,"דבק 132 לבן 25 ק""ג כרמית",מליטה וצמנט,שק,דבק 132 לבן,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
15181,"ריצופית אפור 181 25 ק""ג",אחר,שק,ריצופית אפור 181,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
15182,"ריצופית לבן 181 25 ק""ג",אחר,שק,ריצופית לבן 181,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
15420,"שפריץ מוכן 420 25 ק""ג כרמית",מליטה וצמנט,שק,שפריץ מוכן 420,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
15620,"מלט מהיר 620 2.5 ק""ג",מליטה וצמנט,שק,מלט מהיר 620,"משטח סבן (40 שקים) (מק""ט 60060)",2.5,🏭 4️⃣(החרש),חכמת / עלי
15634,"שפכטל חוץ/פנים 634 25 ק""ג",שפכטלים,שק,שפכטל חוץ/פנים 634,ללא,25,🏟️ 1️⃣(התלמיד),חכמת / עלי
15710,"טיח חוץ 710 שק 25 ק""ג",מליטה וצמנט,שק,טיח חוץ 710 שק,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
15720,"הרבצה 720 25 ק""ג כרמית",מליטה וצמנט,שק,הרבצה 720,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
15750,"טיח תרמי 750 16 ק""ג כרמית",מליטה וצמנט,שק,טיח תרמי 750,"משטח סבן (40 שקים) (מק""ט 60060)",16,🏭 4️⃣(החרש),חכמת / עלי
15760,"טיח תרמי 760 23 ק""ג כרמית",מליטה וצמנט,שק,טיח תרמי 760,"משטח סבן (40 שקים) (מק""ט 60060)",23,🏭 4️⃣(החרש),חכמת / עלי
15800,"טיח גבס 800 25 ק""ג כרמית",מליטה וצמנט,שק,טיח גבס 800,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),עלי (פתוחה)
18182,הובלת משאית 02,הובלות ומנוף,יח',הובלת משאית 02,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
24810,בוטילי לבד 10 10 מ.א.,חומרי איטום,גליל,בוטילי לבד 10,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
24816,בוטילי לבד 20 10 מ.א.,חומרי איטום,גליל,בוטילי לבד 20,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
24820,בוטילי אלומ' 10 10 מ.א.,חומרי איטום,גליל,בוטילי אלומ' 10,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
24823,בוטילי אלומ' 15 10 מ.א.,חומרי איטום,גליל,בוטילי אלומ' 15,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
24826,בוטילי אלומ' 20 10 מ.א.,חומרי איטום,גליל,בוטילי אלומ' 20,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
650056,"מברשת צבע 830 ""2",צבע ופריימרים,יח',"מברשת צבע 830 ""2",ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
1512105,"פריימר לטיח גבס 121 5 ק""ג",מליטה וצמנט,שק,פריימר לטיח גבס 121,"משטח סבן (40 שקים) (מק""ט 60060)",5,🏭 4️⃣(החרש),עלי (פתוחה)
1512120,"פריימר לטיח גבס 121 20 ק""ג",מליטה וצמנט,שק,פריימר לטיח גבס 121,"משטח סבן (40 שקים) (מק""ט 60060)",20,🏭 4️⃣(החרש),עלי (פתוחה)
9875540,"שפכטל חיצוני 2.5 ק""ג 633",שפכטלים,שק,שפכטל חיצוני,ללא,2.5,🏟️ 1️⃣(התלמיד),חכמת / עלי
9877651,"פריימר P4 גלון 8 ק""ג",צבע ופריימרים,שק,פריימר P4 גלון,ללא,8,🏟️ 1️⃣(התלמיד),חכמת / עלי
9877681,ביטום פיקס K1 ביטומני פח,ברגים ופרזול,יח',ביטום פיקס K1 ביטומני פח,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
9878111,תוספת למשטח מחולק,אחר,יח',תוספת למשטח מחולק,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת (מנוף)
9880230,"סופר פיניש 5 ק""ג ARDEX",שפכטלים,שק,סופר פיניש,ללא,5,🏟️ 1️⃣(התלמיד),חכמת / עלי
9882297,"צבע לבטון לבן 5 ק""ג ARDEX",צבע ופריימרים,שק,צבע לבטון לבן,ללא,5,🏟️ 1️⃣(התלמיד),חכמת / עלי
9882298,"צבע לבטון אפור בהיר 5 ק""ג A",צבע ופריימרים,שק,צבע לבטון אפור בהיר,ללא,5,🏟️ 1️⃣(התלמיד),חכמת / עלי
9882299,"צבע לבטון אפור כהה 5 ק""ג AR",צבע ופריימרים,שק,צבע לבטון אפור כהה,ללא,5,🏟️ 1️⃣(התלמיד),חכמת / עלי
9882300,"צבע לבטון אדום 5 ק""ג ARDEX",צבע ופריימרים,שק,צבע לבטון אדום,ללא,5,🏟️ 1️⃣(התלמיד),חכמת / עלי
14004,"פריימר SAKRET 004 דלי 12 ק""",צבע ופריימרים,דלי,"פריימר SAKRET 004 דלי 12 ק""",ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
14005,פריימר SAKRET 005 דלי 5 ליט,צבע ופריימרים,דלי,פריימר SAKRET 005 דלי 5 ליט,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
14007,"פריימר SAKRET 007 שק 20 ק""ג",צבע ופריימרים,שק,פריימר SAKRET 007 שק,ללא,20,🏟️ 1️⃣(התלמיד),חכמת / עלי
14008,"פריימר 008 15 ק""ג תרמוקיר",צבע ופריימרים,שק,פריימר 008,ללא,15,🏟️ 1️⃣(התלמיד),חכמת / עלי
14100,"הרבצה PL100S תרמוקיר 25 ק""ג",מליטה וצמנט,שק,הרבצה PL100S תרמוקיר,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
14102,"טיח חוץ 25 ק""ג PL102",מליטה וצמנט,שק,טיח חוץ,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
14104,"טיח בריכות PL102Sי 25 ק""ג",מליטה וצמנט,שק,טיח בריכות PL102Sי,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
14122,"טיח מגן 40 ק""ג PL122",מליטה וצמנט,שק,טיח מגן,"משטח סבן (40 שקים) (מק""ט 60060)",40,🏭 4️⃣(החרש),חכמת / עלי
14123,"טיח ג'ל PL123 תרמוקיר 25 ק""",מליטה וצמנט,יח',"טיח ג'ל PL123 תרמוקיר 25 ק""","משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
14130,"טיח ממ""ד רב תכליתי 40 ק""ג P",מליטה וצמנט,שק,"טיח ממ""ד רב תכליתי","משטח סבן (40 שקים) (מק""ט 60060)",40,🏭 4️⃣(החרש),חכמת / עלי
14175,"תרמוסטפ AC420 י 20 ק""ג",אחר,שק,תרמוסטפ AC420 י,ללא,20,🏭 4️⃣(החרש),חכמת / עלי
14185,"שליכט בגר חוץ/פנים 25 ק""גPL",מליטה וצמנט,שק,שליכט בגר חוץ/פנים,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
14400,"טיח תרמי 400 23 ק""ג תרמוקיר",מליטה וצמנט,שק,טיח תרמי 400,"משטח סבן (40 שקים) (מק""ט 60060)",23,🏭 4️⃣(החרש),חכמת / עלי
14500,"פלסטומר AD500 שק 25 ק""ג",חומרי איטום,שק,פלסטומר AD500 שק,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
14601,"פלסטומר AD601 שק 25 ק""ג",חומרי איטום,שק,פלסטומר AD601 שק,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
14603,"פלסטומר AD603 אפור 25 ק""ג",חומרי איטום,שק,פלסטומר AD603 אפור,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
14604,"פלסטומר AD603 לבן 25 ק""ג",חומרי איטום,שק,פלסטומר AD603 לבן,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
14700,"פלסטומר AD700 שק 25 ק""ג",חומרי איטום,שק,פלסטומר AD700 שק,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
14980,"אלסטוסיל לבן 25 ק""ג SE980",אחר,שק,אלסטוסיל לבן,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
18060,"הובלת מנוף הרצליה - רמה""ש",הובלות ומנוף,יח',"הובלת מנוף הרצליה - רמה""ש",ללא,0,🏭 4️⃣(החרש),חכמת (מנוף)
9870531,פינת איטום SAKRET SE947י 10,חומרי איטום,יח',פינת איטום SAKRET SE947י 10,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
9870875,סיליקון שקוף SE963 תרמיל,אחר,יח',סיליקון שקוף SE963 תרמיל,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
9882500,"טיח ממ""ד רב תכליתי 25 ק""ג P",מליטה וצמנט,שק,"טיח ממ""ד רב תכליתי","משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
14920001,"כוחלה 001 שמנת 25 ק""ג תרמוק",מליטה וצמנט,שק,כוחלה 001 שמנת,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
10155,"ווטרפלאג 25 ק""ג THORO",אחר,שק,ווטרפלאג,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
14890,"רובה SIKA TG ירוק 1181 5 ק""",מליטה וצמנט,יח',"רובה SIKA TG ירוק 1181 5 ק""","משטח סבן (40 שקים) (מק""ט 60060)",0,🏭 4️⃣(החרש),חכמת / עלי
15665,סיקה POOL אפור תרמיל SIKA,חומרי איטום,יח',סיקה POOL אפור תרמיל SIKA,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15666,סיקה POOL לבן תרמיל SIKA,חומרי איטום,יח',סיקה POOL לבן תרמיל SIKA,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15680,סיקפלקס FC11 לבן תרמיל SIKA,חומרי איטום,יח',סיקפלקס FC11 לבן תרמיל SIKA,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15681,סיקפלקס FC11 אפור תרמיל SIK,חומרי איטום,יח',סיקפלקס FC11 אפור תרמיל SIK,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15682,סיקפלקס FC11 שחור תרמיל SIK,חומרי איטום,יח',סיקפלקס FC11 שחור תרמיל SIK,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15683,סיקפלקס FC11 חום תרמיל SIKA,חומרי איטום,יח',סיקפלקס FC11 חום תרמיל SIKA,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15684,סיקפלקס FC11 קרם תרמיל SIKA,חומרי איטום,יח',סיקפלקס FC11 קרם תרמיל SIKA,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15685,סיקפלקס FC11 לבן שרוול SIKA,חומרי איטום,יח',סיקפלקס FC11 לבן שרוול SIKA,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15686,סיקפלקס FC11 אפור שרוול SIK,חומרי איטום,יח',סיקפלקס FC11 אפור שרוול SIK,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15687,סיקפלקס FC11 שחור שרוול SIK,חומרי איטום,יח',סיקפלקס FC11 שחור שרוול SIK,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15688,סיקפלקס FC11 אוף ואייט שרוו,חומרי איטום,יח',סיקפלקס FC11 אוף ואייט שרוו,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15689,סיקה פלקס שקוף קריסטל 112 M,חומרי איטום,חב',סיקה פלקס שקוף קריסטל 112 M,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15696,"סיקה 107 לבן 20 ק""ג ללא תוס",חומרי איטום,שק,סיקה 107 לבן,ללא,20,🏭 4️⃣(החרש),חכמת / עלי
15698,"סיקה 107 נוזל בלבד 5 ק""ג",חומרי איטום,שק,סיקה 107 נוזל בלבד,ללא,5,🏭 4️⃣(החרש),חכמת / עלי
15699,"מולטיסיל 10 ס""מ SIKAי 10מ.א",אחר,יח',מולטיסיל,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15706,סיקה PRO3 אפור שרוול ML600,חומרי איטום,יח',סיקה PRO3 אפור שרוול ML600,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15708,אנקור פיקס 1 תרמיל SIKA,אחר,יח',אנקור פיקס 1 תרמיל SIKA,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15709,פריימר לסיקפלקס 1/2 ליטר 3N,חומרי איטום,יח',פריימר לסיקפלקס 1/2 ליטר 3N,ללא,2,🏟️ 1️⃣(התלמיד),חכמת / עלי
15711,פריימר לסיקפלקס 1 ליטר 3N,חומרי איטום,יח',פריימר לסיקפלקס,ללא,1,🏟️ 1️⃣(התלמיד),חכמת / עלי
15714,"מולטיסיל 15 ס""מ SIKAי 10מ.א",אחר,יח',מולטיסיל,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15715,"ווטרפלאג SIKAי 2 ק""ג",אחר,שק,ווטרפלאג SIKAי,ללא,2,🏭 4️⃣(החרש),חכמת / עלי
15719,"ווטרפלאג SIKAי 1 ק""ג",אחר,שק,ווטרפלאג SIKAי,ללא,1,🏭 4️⃣(החרש),חכמת / עלי
15721,"ווטרפלאג SIKAי 5 ק""ג",אחר,שק,ווטרפלאג SIKAי,ללא,5,🏭 4️⃣(החרש),חכמת / עלי
15722,"ווטרפלאג SIKAי 20 ק""ג",אחר,שק,ווטרפלאג SIKAי,ללא,20,🏭 4️⃣(החרש),חכמת / עלי
15753,סיקה 4A מזרז 5 ליטר,חומרי איטום,יח',סיקה 4A מזרז,ללא,5,🏭 4️⃣(החרש),חכמת / עלי
15757,"סיקה SLT לטקס 18 ק""ג",חומרי איטום,שק,סיקה SLT לטקס,ללא,18,🏭 4️⃣(החרש),חכמת / עלי
15759,סיקה לטקס סופר 5 ליטר,חומרי איטום,יח',סיקה לטקס סופר,ללא,5,🏭 4️⃣(החרש),חכמת / עלי
15761,סיקה לטקס סופר 18 ליטר,חומרי איטום,יח',סיקה לטקס סופר,ללא,18,🏭 4️⃣(החרש),חכמת / עלי
15772,"סיקה טופ 107 E י 20+10 ק""ג",חומרי איטום,שק,"סיקה טופ 107 E י 20+10 ק""ג",ללא,10,🏭 4️⃣(החרש),חכמת / עלי
15775,"סיקה ראפ 25 ק""ג",חומרי איטום,שק,סיקה ראפ,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
15792,"סיקה ראפ פאוור 25 ק""ג",חומרי איטום,שק,סיקה ראפ פאוור,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
15805,"סיקה לסטיק K1י 17 ק""ג SIKA",חומרי איטום,שק,סיקה לסטיק K1י,ללא,17,🏭 4️⃣(החרש),חכמת / עלי
15930,סיליקון ניטראלי שקוף תרמיל,אחר,יח',סיליקון ניטראלי שקוף תרמיל,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15931,סיליקון ניטראלי לבן תרמיל S,אחר,יח',סיליקון ניטראלי לבן תרמיל S,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15932,סיליקון ניטראלי קרם תרמיל S,אחר,יח',סיליקון ניטראלי קרם תרמיל S,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15933,סיליקון ניטראלי אפור תרמיל,אחר,יח',סיליקון ניטראלי אפור תרמיל,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15934,סיליקון ניטראלי שחור תרמיל,אחר,יח',סיליקון ניטראלי שחור תרמיל,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
19001,סיקה 1 18 ליטר,חומרי איטום,יח',סיקה 1,ללא,18,🏭 4️⃣(החרש),חכמת / עלי
19050,"טיח בריכות קריט SIKAי 25 ק""",מליטה וצמנט,יח',"טיח בריכות קריט SIKAי 25 ק""","משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
19056,"סיקה דור 56 א+ב 6 ק""ג",חומרי איטום,שק,סיקה דור 56 א+ב,ללא,6,🏭 4️⃣(החרש),חכמת / עלי
19100,"רובה אפוקסי SIKA 100י 5 ק""",מליטה וצמנט,יח',"רובה אפוקסי SIKA 100י 5 ק""","משטח סבן (40 שקים) (מק""ט 60060)",0,🏭 4️⃣(החרש),חכמת / עלי
19103,"רובה אפוקסי SIKA 103י 5 ק""ג",מליטה וצמנט,שק,רובה אפוקסי SIKA 103י,"משטח סבן (40 שקים) (מק""ט 60060)",5,🏭 4️⃣(החרש),חכמת / עלי
19107,"סיקה 107 אפור+תוסף 25 ק""ג",פרופילים ושלד,שק,סיקה 107 אפור+תוסף,ללא,25,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
19108,"סיקה 107 לבן+תוסף 25 ק""ג",פרופילים ושלד,שק,סיקה 107 לבן+תוסף,ללא,25,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
19120,"רובה אפוקסי SIKA 120י 5 ק""ג",מליטה וצמנט,שק,רובה אפוקסי SIKA 120י,"משטח סבן (40 שקים) (מק""ט 60060)",5,🏭 4️⃣(החרש),חכמת / עלי
